dataset,unseen_idx,unseen_names,nclass,pre_OA_mean,pre_OA_std,pre_AA_mean,pre_AA_std,pre_Kappa_mean,pre_Kappa_std,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,S_OA_mean,S_OA_std,U_OA_mean,U_OA_std,H_OA_mean,H_OA_std,S_AA_mean,S_AA_std,U_AA_mean,U_AA_std,H_AA_mean,H_AA_std,avg_train_time,avg_test_time
Houston,1;2,healthy grass;stressed grass,15,0.513146,0.026246,0.459595,0.026272,0.471648,0.028613,0.766769,0.007926,0.802396,0.006684,0.747844,0.008593,0.836448,0.009457,0.418495,0.005132,0.557838,0.005046,0.861539,0.007682,0.417968,0.005125,0.562838,0.004939,332.2,0.31
Houston,1;3,healthy grass;synthetic grass,15,0.562102,0.025523,0.482952,0.031897,0.523512,0.027975,0.756566,0.014251,0.769228,0.018292,0.737266,0.015476,0.856248,0.007854,0.087351,0.080913,0.14809,0.123669,0.873733,0.006882,0.089951,0.105574,0.146567,0.153747,330.28,0.36
Houston,1;4,healthy grass;trees,15,0.545971,0.010747,0.505817,0.019842,0.507685,0.011871,0.743181,0.006767,0.783482,0.004562,0.722381,0.00727,0.855827,0.008021,0.17729,0.0374,0.29171,0.053609,0.876662,0.005367,0.177815,0.037511,0.293674,0.054168,330.21,0.39
Houston,1;5,healthy grass;soil,15,0.535487,0.030114,0.497973,0.031583,0.497753,0.032622,0.766559,0.005642,0.80028,0.004907,0.747733,0.006076,0.844695,0.006557,0.373638,0.01304,0.517955,0.012316,0.865698,0.005417,0.375064,0.013089,0.523235,0.012573,330.3,0.42
Houston,1;6,healthy grass;water,15,0.605788,0.034284,0.550413,0.039112,0.572443,0.037449,0.777071,0.00718,0.789936,0.007367,0.760191,0.007583,0.855222,0.007632,0.109759,0.005045,0.194517,0.00804,0.870456,0.007483,0.266558,0.012252,0.408001,0.014698,330.36,0.41
Houston,1;7,healthy grass;residential buildings,15,0.558038,0.023769,0.511107,0.020459,0.52062,0.025696,0.747737,0.007373,0.786413,0.007226,0.727298,0.007956,0.865785,0.008134,0.161538,0.022053,0.271583,0.031799,0.882713,0.00664,0.160465,0.021906,0.270917,0.031934,388.04,0.47
Houston,1;8,healthy grass;commercial buildings,15,0.585929,0.011179,0.536763,0.011391,0.55089,0.01239,0.760911,0.003103,0.79773,0.003661,0.741582,0.003347,0.836014,0.003831,0.383622,0.007284,0.525868,0.006701,0.861265,0.004804,0.384752,0.007298,0.531834,0.006487,408.63,0.49
Houston,1;9,healthy grass;road,15,0.561878,0.029951,0.525183,0.043162,0.525213,0.03273,0.737001,0.00571,0.77662,0.007678,0.715773,0.006226,0.872883,0.005508,0.057131,0.0208,0.106414,0.037163,0.887309,0.008542,0.05714,0.020806,0.106546,0.037238,422.73,0.49
Houston,1;10,healthy grass;highway,15,0.595123,0.017356,0.544331,0.024059,0.560853,0.018991,0.753259,0.002971,0.791581,0.003748,0.733372,0.00317,0.836956,0.003135,0.329367,0.002328,0.472707,0.00286,0.862191,0.00413,0.332618,0.002351,0.48004,0.002832,423.24,0.5
Houston,1;11,healthy grass;railway,15,0.593441,0.028823,0.547331,0.047432,0.559223,0.03182,0.762663,0.00716,0.798429,0.005886,0.743569,0.007761,0.858678,0.012205,0.278357,0.085732,0.411547,0.110032,0.878671,0.011784,0.276857,0.085225,0.412365,0.110626,422.54,0.49
Houston,1;12,healthy grass;the first kind of parking lot,15,0.581668,0.01828,0.531206,0.014922,0.546186,0.019628,0.761948,0.012922,0.797263,0.010399,0.742933,0.013921,0.861724,0.005581,0.25816,0.081834,0.389218,0.109418,0.880487,0.005721,0.256313,0.081248,0.389116,0.109738,422.71,0.49
